iter	Passed	Remaining
0	7	1451
1	15	1495
2	22	1469
3	28	1407
4	36	1413
5	43	1392
6	49	1368
7	56	1352
8	63	1342
9	70	1333
10	77	1339
11	85	1341
12	93	1348
13	101	1349
14	109	1347
15	117	1345
16	125	1351
17	134	1364
18	147	1403
19	159	1433
20	171	1458
21	182	1479
22	193	1488
23	206	1514
24	217	1520
25	231	1549
26	242	1555
27	253	1559
28	265	1568
29	277	1571
30	290	1583
31	305	1604
32	320	1620
33	333	1629
34	348	1643
35	360	1640
36	378	1668
37	392	1674
38	407	1681
39	418	1673
40	428	1663
41	441	1659
42	451	1649
43	462	1640
44	473	1632
45	485	1625
46	496	1616
47	506	1604
48	516	1592
49	526	1578
50	535	1565
51	546	1554
52	557	1546
53	568	1536
54	581	1533
55	595	1531
56	608	1526
57	620	1518
58	631	1508
59	642	1499
60	654	1491
61	666	1483
62	678	1475
63	691	1469
64	703	1461
65	715	1453
66	728	1446
67	741	1439
68	753	1431
69	765	1421
70	777	1412
71	790	1405
72	802	1395
73	813	1385
74	824	1374
75	834	1362
76	845	1351
77	857	1340
78	868	1330
79	879	1319
80	890	1308
81	902	1298
82	913	1287
83	922	1274
84	933	1262
85	945	1252
86	956	1242
87	967	1231
88	979	1221
89	992	1212
90	1002	1200
91	1013	1189
92	1025	1179
93	1036	1169
94	1048	1159
95	1061	1150
96	1074	1140
97	1087	1131
98	1098	1120
99	1109	1109
100	1121	1098
101	1133	1088
102	1145	1078
103	1157	1068
104	1168	1057
105	1180	1046
106	1191	1035
107	1202	1024
108	1213	1012
109	1223	1000
110	1233	989
111	1244	977
112	1255	966
113	1266	955
114	1277	944
115	1288	932
116	1300	922
117	1312	912
118	1323	900
119	1333	889
120	1343	877
121	1354	865
122	1365	854
123	1376	843
124	1388	833
125	1400	822
126	1412	811
127	1423	800
128	1435	790
129	1446	779
130	1457	767
131	1467	755
132	1477	744
133	1488	733
134	1499	721
135	1510	710
136	1521	699
137	1533	689
138	1545	678
139	1558	667
140	1570	657
141	1583	646
142	1594	635
143	1605	624
144	1617	613
145	1628	602
146	1639	591
147	1651	580
148	1663	569
149	1673	557
150	1684	546
151	1696	535
152	1706	524
153	1717	512
154	1728	501
155	1741	491
156	1754	480
157	1766	469
158	1778	458
159	1788	447
160	1800	436
161	1810	424
162	1820	413
163	1831	401
164	1841	390
165	1852	379
166	1864	368
167	1875	357
168	1889	346
169	1901	335
170	1912	324
171	1923	313
172	1935	302
173	1946	290
174	1956	279
175	1967	268
176	1979	257
177	1991	246
178	2002	234
179	2014	223
180	2027	212
181	2038	201
182	2050	190
183	2063	179
184	2076	168
185	2092	157
186	2106	146
187	2119	135
188	2136	124
189	2147	113
190	2161	101
191	2176	90
192	2187	79
193	2202	68
194	2218	56
195	2238	45
196	2252	34
197	2265	22
198	2279	11
199	2293	0
